Title,Description,Image URL,Address,Country,Number of Bedrooms,Number of Bathrooms,Floor Size (m2),Price (USD),Property URL
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 6 bedrooms, 6 bathrooms.",https://assets.xomio.com/listings/images/rl-133872328__0__720.jpg,Mugla,Turkey,6.0,6.0,679.0,12077495,https://www.century21global.com/en/p/muğla-turkey--rl-133872328
"Home For Sale, Denizli Turkey",Home at Denizli Turkey.,https://assets.xomio.com/listings/images/rl-134381229__0__720.jpg,Denizli,Turkey,,,5045.0,11502377,https://www.century21global.com/en/p/denizli-turkey--rl-134381229
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-133266122__0__720.jpg,Ankara,Turkey,,,10000.0,11473621,https://www.century21global.com/en/p/ankara-turkey--rl-133266122
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-133775069__0__720.jpg,İstanbul-Avrupa,Turkey,,,5900.0,9345681,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133775069
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134750907__0__720.jpg,Mugla,Turkey,,,5270.0,7476545,https://www.century21global.com/en/p/muğla-turkey--rl-134750907
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134171581__0__720.jpg,İstanbul-Avrupa,Turkey,,,,7476545,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134171581
"Home For Sale, Balıkesir 10200 Turkey","Home at Balıkesir 10200 Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134838867__0__720.jpg,Balıkesir,Turkey,6.0,0.0,4200.0,7188985,https://www.century21global.com/en/p/balıkesir-10200-turkey--rl-134838867
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 16 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-132647141__0__720.jpg,İstanbul-Avrupa,Turkey,16.0,0.0,,6984818,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-132647141
"Single Family House For Sale, Mugla 48399 Turkey","Single Family House at Mugla 48399 Turkey With 7 bedrooms, 6 bathrooms, Sea View, Pool View, City View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134362448__0__720.jpg,Mugla,Turkey,7.0,6.0,680.0,6901426,https://www.century21global.com/en/p/muğla-48399-turkey--rl-134362448
"Home For Sale, Turkey","Home at Turkey With 16 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-132647146__0__720.jpg,,Turkey,16.0,0.0,,6613867,https://www.century21global.com/en/p/turkey--rl-132647146
